IUPAC,epochs100_lr1.0_soft,epochs25_lr1.0_soft,epochs50_lr1.0_soft,epochs5_lr1.0_soft,epochs200_lr1.0_soft
Gal(a1-Sp8,ll,ll,ll,ll,ll
Glc(a1-Sp8,ll,ll,ll,ll,ll
Man(a1-Sp8,ll,ll,ll,ll,ll
GalNAc(a1-Sp8,ll,ll,ll,ll,ll
GalNAc(a1-Sp15,ll,ll,ll,ll,ll
Fuc(a1-Sp8,ll,ll,ll,ll,ll
Fuc(a1-Sp9,ll,ll,ll,ll,ll
Neu5Ac(a1-Sp8,ll,ll,ll,ll,ll
Neu5Ac(a1-Sp11,ll,ll,ll,ll,ll
Neu5Ac(b1-Sp8,ll,ll,ll,ll,ll
Gal(b1-Sp8,ll,ll,ll,ll,ll
Glc(b1-Sp8,ll,ll,ll,ll,ll
Man(b1-Sp8,ll,ll,ll,ll,ll
GalNAc(b1-Sp8,ll,ll,ll,ll,ll
GlcNAc(b1-Sp0,ll,ll,ll,ll,ll
GlcNAc(b1-Sp8,ll,ll,ll,ll,ll
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,ll,ll,ll,ll,ll
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,ll,ll,ll,ll,ll
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8,ll,ll,ll,ll,ll
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,ll,ll,ll,ll,ll
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,ll,ll,ll,ll,ll
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0,ll,ll,ll,ll,ll
(3S)Gal(b1-4)Glc(b1-Sp8,ll,ll,ll,ll,ll
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,ll,ll,ll,ll,ll
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,ll,ll,ll,ll,ll
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,ll,ll,ll,ll,ll
(3S)Gal(b1-3)GalNAc(a1-Sp8,ll,ll,ll,ll,ll
(3S)Gal(b1-3)GlcNAc(b1-Sp0,ll,ll,ll,ll,ll
(3S)Gal(b1-3)GlcNAc(b1-Sp8,ll,ll,ll,ll,ll
