IUPAC,Galectin-3 (20ug/ml) Slide:13619,Gal-3C (0.5ug/ml) Slide:15163,Gal-3C (2ug/ml) Slide:15156,Gal-3C (5ug/ml) Slide:15161,Gal-3C (20ug/ml) Slide:15157,Gal-3C (50ug/ml) Slide:15162,binding
Gal(a1-Sp8,14.879975,14.307025,17.8393,46.955075,12.575375,22.160975,low
Glc(a1-Sp8,17.489825,20.951025,18.0777,24.438875,21.465975,26.972675,low
Man(a1-Sp8,58.40865,32.055675,20.944025,30.5711,25.9342,30.750625,low
GalNAc(a1-Sp8,24.675825,30.889325,13.496225,28.18935,10.909375,39.992,low
GalNAc(a1-Sp15,26.20815,37.9034,17.857275,23.329375,13.30975,30.986175,low
Fuc(a1-Sp8,11.034175,15.72225,13.04415,21.87335,24.1898,10.166325,low
Fuc(a1-Sp9,26.4229,88.063975,85.190125,83.506375,71.2898,114.440625,low
Neu5Ac(a1-Sp8,28.899525,20.040625,14.807,28.34635,22.633275,25.9439,low
Neu5Ac(a1-Sp11,29.339675,15.33295,20.66435,20.70145,19.180525,30.617275,low
Neu5Ac(b1-Sp8,15.44885,3.563625,3.459425,13.104825,12.8635,21.2253,low
Gal(b1-Sp8,18.948125,23.228,21.0617,11.772875,24.34195,28.9782,low
Glc(b1-Sp8,4.9898,17.630075,13.9967,20.1012,21.106725,22.68105,low
Man(b1-Sp8,5.41205,21.369925,17.277475,10.194525,26.565825,16.0441,low
GalNAc(b1-Sp8,20.58885,28.573525,26.55535,33.262575,27.83785,41.3959,low
GlcNAc(b1-Sp0,34.847375,22.78345,21.236925,22.1444,10.3411,26.294075,low
GlcNAc(b1-Sp8,19.111875,14.2183,13.105225,23.5843,9.62585,38.709925,low
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(a1-Sp8,11.9081,22.342925,12.39465,14.890625,32.715175,41.474025,low
Gal(b1-4)GlcNAc(b1-6)[Gal(b1-4)GlcNAc(b1-3)]GalNAc(b1-Sp14,127.537475,19.116375,19.388975,29.9927,18.7023,65.334775,low
GlcNAc(b1-6)[GlcNAc(b1-4)][GlcNAc(b1-3)]GlcNAc(b1-Sp8,8.733625,9.823,15.236575,0.815975,24.523675,21.18745,low
6S(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,15.35555,14.729875,32.813075,15.287775,25.21335,20.457175,low
6S(3S)Gal(b1-4)GlcNAc(b1-Sp0,23.42325,14.713225,10.8002,25.310725,18.859425,18.238125,low
(3S)Gal(b1-4)[Fuc(a1-3)](6S)Glc(1-Sp0,29.8953,23.742825,22.220325,52.81725,32.336875,78.02505,low
(3S)Gal(b1-4)Glc(b1-Sp8,19.055125,26.149575,13.4403,21.2025,27.364625,28.049375,low
(3S)Gal(b1-4)(6S)Glc(b1-Sp0,11.719925,23.499675,10.1004,18.4579,31.430525,22.697075,low
(3S)Gal(b1-4)(6S)Glc(b1-Sp8,21.377725,13.31625,25.001775,14.76205,33.27645,51.557825,low
(3S)Gal(b1-3)[Fuc(a1-4)]GlcNAc(b1-Sp8,13.846625,21.46365,15.787925,27.14425,14.433325,23.987375,low
(3S)Gal(b1-3)GalNAc(a1-Sp8,13.2114,14.742325,14.736525,17.019825,34.74155,14.7404,low
(3S)Gal(b1-3)GlcNAc(b1-Sp0,2.0286,12.8572,21.36835,24.437175,46.83395,119.48115,low
(3S)Gal(b1-3)GlcNAc(b1-Sp8,31.46,42.918075,23.920275,62.145625,117.515375,124.769975,low
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp0,17.84885,35.28145,20.681875,28.718925,45.15025,45.902,low
(3S)Gal(b1-4)[Fuc(a1-3)]GlcNAc(1-Sp8,32.746125,6.3469,19.7368,11.509475,23.577325,20.2403,low
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp0,24.570025,17.151425,37.457075,53.76805,247.5979,500.492375,low
(3S)Gal(b1-4)(6S)GlcNAc(b1-Sp8,18.062125,25.16315,45.149075,52.42715,398.380425,734.266825,low
(3S)Gal(b1-4)GlcNAc(b1-Sp0,27.055925,26.766375,9.1845,46.150925,65.041225,152.249625,low
(3S)Gal(b1-4)GlcNAc(b1-Sp8,14.016475,17.2743,14.2379,19.88195,92.60595,121.831425,low
(3S)Gal(b1-Sp8,7.850825,30.64785,19.109175,18.019175,19.4226,23.070375,low
(6S)(4S)Gal(b1-4)GlcNAc(b1-Sp0,14.71375,16.566125,14.665725,11.408775,13.188225,21.54075,low
(4S)Gal(b1-4)GlcNAc(b1-Sp8,20.8601,9.705425,15.54145,5.6852,8.92585,8.403275,low
(6P)Man(a1-Sp8,15.60245,19.270775,19.773825,9.663825,11.2585,23.027125,low
(6S)Gal(b1-4)Glc(b1-Sp0,7.777925,15.050675,8.6243,17.534125,31.03415,17.9167,low
(6S)Gal(b1-4)Glc(b1-Sp8,17.810225,18.8356,11.269,14.714825,15.94755,17.191775,low
